0.000000;-7300.447266;-2434.506348;-12167.592773;-0.008691;9733.124023
0.000000;-7300.711914;-2434.930908;-12167.677734;-0.120452;9732.791016
0.000000;-18251.550781;-6089.252441;-30411.322266;0.000006;24321.037109
0.000000;-18251.103516;-6088.580566;-30411.201172;0.195471;24321.677734
0.000000;-160531.656250;-54014.910156;-267075.468750;-0.821299;213061.671875
0.000000;-160554.687500;-54060.984375;-267073.312500;-4.504873;213014.000000
0.000000;-160574.328125;-54093.496094;-267076.031250;-2.734356;212983.406250
0.000000;-160593.000000;-54125.312500;-267080.281250;-1.823375;212957.359375
0.000000;-160605.390625;-54147.382812;-267082.468750;-2.061496;212938.140625
0.000000;-160625.703125;-54179.171875;-267090.625000;-4.661977;212915.000000
0.000000;-160648.359375;-54219.609375;-267092.437500;-6.996844;212877.296875
0.000000;-160671.375000;-54261.460938;-267095.781250;-7.160137;212839.093750
0.000000;-160683.312500;-54281.160156;-267098.875000;-8.217228;212822.281250
0.000000;-160698.187500;-54306.761719;-267103.593750;-8.522860;212801.406250
0.000000;-160701.281250;-54310.488281;-267105.687500;-9.170399;212800.218750
0.000000;-160728.171875;-54358.574219;-267109.093750;-9.690450;212755.484375
0.000000;-160741.734375;-54382.109375;-267112.531250;-9.602105;212735.906250
0.000000;-160750.734375;-54396.015625;-267116.937500;-9.883674;212726.312500
0.000000;-160789.171875;-54468.457031;-267120.468750;-11.910938;212658.437500
0.000000;-160801.984375;-54489.835938;-267125.218750;-11.838615;212642.078125
0.000000;-160806.687500;-54493.781250;-267130.062500;-13.428207;212643.468750
0.000000;-160815.281250;-54508.429688;-267132.750000;-13.512879;212631.984375
0.000000;-160820.250000;-54512.859375;-267137.843750;-12.283642;212632.171875
0.000000;-160830.250000;-54533.675781;-267136.906250;-10.574937;212611.125000
0.000000;-160843.265625;-54554.976562;-267141.156250;-11.655477;212594.625000
0.000000;-160859.015625;-54585.804688;-267142.843750;-12.539334;212565.968750
0.000000;-160881.765625;-54626.753906;-267146.968750;-11.070520;212530.265625
0.000000;-160887.734375;-54635.742188;-267149.750000;-11.462653;212523.906250
0.000000;-160909.140625;-54677.523438;-267150.656250;-9.287792;212483.734375
0.000000;-160924.250000;-54702.777344;-267155.468750;-6.324589;212463.875000
0.000000;-160946.937500;-54745.105469;-267158.250000;-12.076778;212424.437500
0.000000;-160958.687500;-54765.343750;-267161.593750;-14.291712;212407.500000
0.000000;-160974.906250;-54793.988281;-267166.000000;-15.902844;212383.140625
0.000000;-161007.687500;-54854.859375;-267170.093750;-15.480871;212327.578125
0.000000;-161028.343750;-54892.585938;-267174.406250;-10.447927;212293.875000
0.000000;-161027.906250;-54888.414062;-267177.687500;-10.194101;212301.203125
0.000000;-161038.109375;-54903.140625;-267183.250000;-10.022078;212292.015625
0.000000;-161063.484375;-54951.152344;-267186.187500;-10.648151;212247.812500
0.000000;-161086.812500;-54998.105469;-267185.312500;-10.937025;212202.031250
0.000000;-161096.968750;-55011.210938;-267192.750000;-11.489026;212196.984375
0.000000;-161122.109375;-55061.554688;-267192.281250;-10.209732;212146.281250
0.000000;-161130.765625;-55073.417969;-267198.468750;-8.335943;212140.718750
0.000000;-161163.140625;-55135.351562;-267200.250000;-7.206132;212081.984375
0.000000;-161180.625000;-55162.984375;-267207.062500;-4.297300;212062.015625
0.000000;-161197.531250;-55192.640625;-267211.906250;-0.734616;212037.109375
0.000000;-161210.437500;-55218.039062;-267211.593750;-4.043574;212011.734375
0.000000;-161220.671875;-55234.605469;-267216.406250;-5.565381;212001.328125
0.000000;-161233.640625;-55256.082031;-267219.812500;-7.538650;211983.390625
0.000000;-161236.796875;-55265.285156;-267217.375000;-5.934330;211972.421875
0.000000;-161253.484375;-55295.691406;-267220.218750;-10.436168;211945.921875
0.000000;-161270.187500;-55325.292969;-267224.343750;-8.659888;211919.968750
0.000000;-161277.906250;-55344.773438;-267220.531250;-13.175948;211896.343750
0.000000;-161281.250000;-55348.597656;-267223.312500;-12.107496;211894.671875
0.000000;-161290.078125;-55361.773438;-267227.375000;-6.552686;211885.796875
0.000000;-161305.890625;-55387.492188;-267233.437500;-8.974079;211867.500000
0.000000;-161308.781250;-55390.644531;-267236.562500;-8.719879;211867.046875
0.000000;-161310.765625;-55390.156250;-267240.968750;-7.118193;211872.093750
0.000000;-161328.296875;-55421.468750;-267244.937500;-5.891748;211843.875000
0.000000;-161328.750000;-55417.917969;-267249.093750;-3.550308;211852.000000
0.000000;-161330.046875;-55419.988281;-267249.937500;-0.580836;211849.781250
