15441.125000;-0.000001;6.240964
41214.156250;-0.000001;11.482783
77330.906250;-0.000001;16.724014
123777.437500;-0.000001;21.963903
180619.187500;-0.000001;27.201931
247817.062500;-0.000001;32.439247
325460.843750;-0.000001;37.672779
413488.750000;-0.000001;42.907597
511945.093750;-0.000001;48.138805
620850.312500;-0.000001;53.366619
740213.125000;-0.000001;58.597504
870025.062500;-0.000001;63.822758
1010276.375000;-0.000001;69.046097
1161022.875000;-0.000001;74.265938
1322101.000000;-0.000001;79.495316
1493672.125000;-0.000001;84.721970
1675696.625000;-0.000001;89.947968
1868091.375000;-0.000001;95.162659
2070883.000000;-0.000001;100.386444
2284141.000000;-0.000001;105.597122
2507762.500000;-0.000001;110.822464
2741825.500000;-0.000001;116.031548
2986284.250000;-0.000001;121.258812
3241081.250000;-0.000001;126.465958
3506352.000000;-0.000001;131.665024
3782118.250000;-0.000001;136.884872
4068354.000000;-0.000001;142.086792
4364997.500000;-0.000001;147.288208
4671977.500000;-0.000001;152.498886
4989323.500000;-0.000001;157.704834
5317089.500000;-0.000001;162.911285
5655213.000000;-0.000001;168.115723
6003817.500000;-0.000001;173.323624
6362728.000000;-0.000001;178.529663
6732101.000000;-0.000001;183.709824
7111878.000000;-0.000001;188.911392
7502026.500000;-0.000001;194.103897
7902642.000000;-0.000001;199.310974
8313624.000000;-0.000001;204.484299
8735132.000000;-0.000001;209.684326
9167044.000000;-0.000001;214.854538
9609376.000000;-0.000001;220.056625
10062104.000000;-0.000001;225.224686
10525206.000000;-0.000001;230.428085
10998801.000000;-0.000001;235.594254
11482838.000000;-0.000001;240.800369
11977202.000000;-0.000001;245.964813
12481988.000000;-0.000001;251.156067
12997243.000000;-0.000001;256.313324
13515643.000000;-0.000001;256.343018
10297.156250;-0.000001;6.289535
30894.625000;-0.000001;11.585403
61798.937500;-0.000001;16.880569
103017.062500;-0.000001;22.172480
154552.718750;-0.000001;27.464167
216411.343750;-0.000001;32.756943
288596.187500;-0.000001;38.044121
371115.093750;-0.000001;43.331600
463972.156250;-0.000001;48.621681
567178.750000;-0.000001;53.911625
680734.875000;-0.000001;59.193272
804640.625000;-0.000001;64.473442
938898.000000;-0.000001;69.755318
1083512.125000;-0.000001;75.033646
1238484.000000;-0.000001;80.318108
1403817.750000;-0.000001;85.593948
1579515.000000;-0.000001;90.881424
1765576.625000;-0.000001;96.153824
1962004.875000;-0.000001;101.422485
2168801.000000;-0.000001;106.708649
2385965.500000;-0.000001;111.975655
2613491.750000;-0.000001;117.256157
2851386.250000;-0.000001;122.522484
3099649.500000;-0.000001;127.783180
3358283.000000;-0.000001;133.066986
3627289.750000;-0.000001;138.333847
3906670.750000;-0.000001;143.594879
4196372.500000;-0.000001;148.877121
4496448.500000;-0.000001;154.139923
4806901.500000;-0.000001;159.391769
5127731.500000;-0.000001;164.646896
5458939.500000;-0.000001;169.895966
5800527.000000;-0.000001;175.143890
6152494.500000;-0.000001;180.393494
6514829.500000;-0.000001;185.641861
6887545.500000;-0.000001;190.890198
7270646.500000;-0.000001;196.133148
7664055.000000;-0.000001;201.381088
8067852.000000;-0.000001;206.628372
8482037.000000;-0.000001;211.876587
8906612.000000;-0.000001;217.125809
9341578.000000;-0.000001;222.374451
9786938.000000;-0.000001;227.623077
10242691.000000;-0.000001;232.872406
10708840.000000;-0.000001;238.121002
11185320.000000;-0.000001;243.369370
11672196.000000;-0.000001;248.618027
12169444.000000;-0.000001;253.866608
12677089.000000;-0.000001;259.114899
13195135.000000;-0.000001;264.364197
13713535.000000;-0.000001;264.373413
13723927.000000;-0.000001;269.612427
13744715.000000;-0.000001;274.858948
13775898.000000;-0.000001;280.101471
13817481.000000;-0.000001;285.347290
13869464.000000;-0.000001;290.593628
13931848.000000;-0.000001;295.825989
14004632.000000;-0.000001;301.068024
14087818.000000;-0.000001;306.314697
14181409.000000;-0.000001;311.561707
14285406.000000;-0.000001;316.756805
14399809.000000;-0.000001;321.979279
14524618.000000;-0.000001;327.222412
14659816.000000;-0.000001;332.469971
14805421.000000;-0.000001;337.718689
14961433.000000;-0.000001;342.955811
15127858.000000;-0.000001;348.204010
15304697.000000;-0.000001;353.453857
15491901.000000;-0.000001;358.702820
15689522.000000;-0.000001;363.948639
15897560.000000;-0.000001;369.197571
16116016.000000;-0.000001;374.445648
16344862.000000;-0.000001;379.694550
16584131.000000;-0.000001;384.943604
16833824.000000;-0.000001;390.192657
17093944.000000;-0.000001;395.440735
17364490.000000;-0.000001;400.689484
17645414.000000;-0.000001;405.938477
17936750.000000;-0.000001;411.187347
18238506.000000;-0.000001;416.396698
18550688.000000;-0.000001;421.630310
18873302.000000;-0.000001;426.877747
19206334.000000;-0.000001;432.127197
19549796.000000;-0.000001;437.376801
19903690.000000;-0.000001;442.626373
20268016.000000;-0.000001;447.875977
20642764.000000;-0.000001;453.125458
21027946.000000;-0.000001;458.375031
21423560.000000;-0.000001;463.624542
21829608.000000;-0.000001;468.763733
22246088.000000;-0.000001;473.943695
22672960.000000;-0.000001;479.175446
23110192.000000;-0.000001;484.388550
23557858.000000;-0.000001;489.622131
24015958.000000;-0.000001;494.754059
24484492.000000;-0.000001;499.936920
24963462.000000;-0.000001;505.135803
25452784.000000;-0.000001;510.369568
25952542.000000;-0.000001;515.495972
26462740.000000;-0.000001;520.681274
26981140.000000;-0.000001;520.702209
26991550.000000;-0.000001;525.915283
27012370.000000;-0.000001;531.134094
27043510.000000;-0.000001;536.367920
27085066.000000;-0.000001;541.497070
27137050.000000;-0.000001;546.679382
27199466.000000;-0.000001;551.872070
27272240.000000;-0.000001;557.000366
27355388.000000;-0.000001;562.176270
27448942.000000;-0.000001;567.362671
27552934.000000;-0.000001;572.499390
27667288.000000;-0.000001;577.672302
27792080.000000;-0.000001;582.854614
27927284.000000;-0.000001;587.998169
28072928.000000;-0.000001;593.168396
28229006.000000;-0.000001;598.343018
28395482.000000;-0.000001;603.492310
28572398.000000;-0.000001;608.664917
28759704.000000;-0.000001;613.835754
28957450.000000;-0.000001;618.991760
29165574.000000;-0.000001;624.161255
29384142.000000;-0.000001;629.327026
29613154.000000;-0.000001;634.489868
29852612.000000;-0.000001;639.657410
30102496.000000;-0.000001;644.819458
30362826.000000;-0.000001;649.989563
30633602.000000;-0.000001;655.153503
30914762.000000;-0.000001;660.304810
31206368.000000;-0.000001;665.466248
31508406.000000;-0.000001;670.640930
31820890.000000;-0.000001;675.798218
32143780.000000;-0.000001;680.966248
32477106.000000;-0.000001;686.138367
32820828.000000;-0.000001;691.290100
33174998.000000;-0.000001;696.465942
33539598.000000;-0.000001;701.634827
33914648.000000;-0.000001;706.782898
34300148.000000;-0.000001;711.963684
34696100.000000;-0.000001;717.131104
35102428.000000;-0.000001;722.275208
35519208.000000;-0.000001;727.460266
35946444.000000;-0.000001;732.627625
36384032.000000;-0.000001;737.768311
36832036.000000;-0.000001;742.959656
37290480.000000;-0.000001;748.123901
37759332.000000;-0.000001;753.175415
38238636.000000;-0.000001;758.271423
38728396.000000;-0.000001;763.460083
39228596.000000;-0.000001;768.619690
39739256.000000;-0.000001;773.669617
40257656.000000;-0.000001;773.635986
40268108.000000;-0.000001;778.753723
40289016.000000;-0.000001;783.982544
40320340.000000;-0.000001;789.148865
40362120.000000;-0.000001;794.277588
40414360.000000;-0.000001;799.486206
40477060.000000;-0.000001;804.646912
40550156.000000;-0.000001;809.771545
40633712.000000;-0.000001;814.984009
40727612.000000;-0.000001;820.141785
40831916.000000;-0.000001;825.265076
40946680.000000;-0.000001;830.481812
41071904.000000;-0.000001;835.637939
41207540.000000;-0.000001;840.756836
41353476.000000;-0.000001;845.981995
41509852.000000;-0.000001;851.134033
41676552.000000;-0.000001;856.250610
41853712.000000;-0.000001;861.480896
42041292.000000;-0.000001;866.630859
42239240.000000;-0.000001;871.744263
42447540.000000;-0.000001;876.779785
42666236.000000;-0.000001;881.982361
42895396.000000;-0.000001;887.125793
43134940.000000;-0.000001;892.237610
43384948.000000;-0.000001;897.271423
43645420.000000;-0.000001;902.479248
43916316.000000;-0.000001;907.621216
44197660.000000;-0.000001;912.658691
44489420.000000;-0.000001;917.736206
44791644.000000;-0.000001;922.763489
